roc_auc,pr_auc,f1_macro_0.5,f1_binary_0.5,accuracy_0.5,precision_0.5,recall_0.5,threshold_0.5,f1_macro_youden,f1_binary_youden,accuracy_youden,precision_youden,recall_youden,threshold_youden,f1_macro_f1_optimal,f1_binary_f1_optimal,accuracy_f1_optimal,precision_f1_optimal,recall_f1_optimal,threshold_f1_optimal,feature_set,model,split,n_features,f1_macro,f1_binary,accuracy,threshold_method,roc_auc_std,f1_macro_std
0.7659126190440212,0.3781641142014361,,,,,,,,,,,,,,,,,,,paper_13_cont_BMI,XGB_spw,5fold_CV,14,0.6465466821566701,0.4146188201290271,0.7995507036329649,f1_optimal,0.014328185001295422,0.012166639050443474
0.7612835949494713,0.3864843496268945,,,,,,,,,,,,,,,,,,,paper_11,XGB_default,5fold_CV,12,0.5666116195311818,0.20190604423601738,0.8735230013922954,0.5,0.015606443482299313,0.015577870600310122
0.7612835949494713,0.3864843496268945,,,,,,,,,,,,,,,,,,,paper_11,XGB_default,5fold_CV,12,0.6530295320362162,0.41452687455230913,0.8176398204218341,f1_optimal,0.015606443482299313,0.0182685679422578
0.7596342557501845,0.3966571242988627,0.6195795280278487,0.40226986128625475,0.7437145174371452,0.2918572735590119,0.6470588235294118,0.5,0.6174704989670818,0.4031960663798402,0.7374966207082996,0.2892416225749559,0.665314401622718,0.4936046600341797,0.6484334092345347,0.4213740458015267,0.7950797512841309,0.3378212974296206,0.5598377281947262,0.5417798161506653,paper_13_cont_BMI,XGB_tuned,70/30,14,,,,,,
0.7549346496617018,0.39392085992196013,0.57638570774164,0.22033898305084745,0.8756420654230873,0.6701030927835051,0.13184584178498987,0.5,0.564658193415799,0.36481759120439783,0.6563936198972695,0.24204244031830238,0.7403651115618661,0.10684817284345627,0.6491484184914842,0.41524736415247365,0.8050824547174912,0.34594594594594597,0.5192697768762677,0.19516660273075104,paper_13,XGB_default,70/30,14,,,,,,
0.7522466749084816,0.36266022169873713,0.5596367613062196,0.18867924528301888,0.8721276020546094,0.6111111111111112,0.11156186612576065,0.5,0.5780750250865706,0.37355718782791186,0.6772100567721006,0.2519462137296532,0.7221095334685599,0.1206648126244545,0.6274379586437225,0.39658848614072495,0.7704785077047851,0.3052516411378556,0.565922920892495,0.16962125897407532,paper_11,XGB_default,70/30,12,,,,,,
0.7318379450085243,0.32058608876073763,,,,,,,,,,,,,,,,,,,paper_13,XGB_spw,5fold_CV,14,0.5781482354302744,0.35472588009767075,0.6965424567903061,0.5,0.012878027864547382,0.008865915609421744
0.7318379450085243,0.32058608876073763,,,,,,,,,,,,,,,,,,,paper_13,XGB_spw,5fold_CV,14,0.6105387569110773,0.37138882507437726,0.7587782674666197,f1_optimal,0.012878027864547382,0.017738840041570135
0.731691592462915,0.3291672008863504,0.5801912754880202,0.3613777526821005,0.6942416869424168,0.25039123630672927,0.6490872210953347,0.5,0.609642331519626,0.3806409417920209,0.7439848607731819,0.2808880308880309,0.59026369168357,0.5323490500450134,0.6113473432194599,0.3817701453104359,0.7469586374695864,0.28305582761998044,0.5862068965517241,0.5347899794578552,paper_11,XGB_tuned,70/30,12,,,,,,
0.7279452094210019,0.31419287043399696,,,,,,,,,,,,,,,,,,,paper_11,XGB_spw,5fold_CV,12,0.5720685363071084,0.34793353362897267,0.689539566364902,0.5,0.01330692958698031,0.009738418678415321
0.7279452094210019,0.31419287043399696,,,,,,,,,,,,,,,,,,,paper_11,XGB_spw,5fold_CV,12,0.6052726375379575,0.3649822948081087,0.7523738831886476,f1_optimal,0.01330692958698031,0.014373784417255647
0.7248750124955871,0.32475103728188276,0.574319837418666,0.34991423670668953,0.6926196269261963,0.24363057324840764,0.6206896551724138,0.5,0.5495045045045045,0.34234234234234234,0.6447688564476886,0.22724252491694352,0.6937119675456389,0.4665530025959015,0.6136198388448665,0.37128353879622916,0.7656123276561233,0.28893905191873587,0.5192697768762677,0.5520854592323303,paper_13,XGB_tuned,70/30,14,,,,,,
