Model,Seed,Fold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall
2_DecisionTree,999,3,0.5749622570692718,0.3742402325381644,0.4274019819043516,0.6317539484621779,0.4316797214969539,0.4232081911262799
2_DecisionTree,999,4,0.5713339058761936,0.37159305193710473,0.4247104247104247,0.628428927680798,0.4274611398963731,0.4219948849104859
2_DecisionTree,999,5,0.5700715818561308,0.3726750497197198,0.4259896729776248,0.630368523136603,0.4300608166811468,0.4219948849104859
3_KNN,42,1,0.6238738809648496,0.4289576312688185,0.39593908629441626,0.6703601108033241,0.4893350062735257,0.33248081841432225
3_KNN,42,2,0.6267884127101945,0.4318331955668422,0.413111342351717,0.6874480465502909,0.5293333333333333,0.3387372013651877
3_KNN,42,3,0.620568706838963,0.4266374658841252,0.413510747185261,0.6824605153782212,0.5166240409207161,0.3447098976109215
3_KNN,42,4,0.6277689236614186,0.4278053686599738,0.40551583248212464,0.6774729842061513,0.5057324840764331,0.33844842284739984
3_KNN,42,5,0.6259795522406864,0.43328779209619167,0.4209466263846928,0.6813521751177611,0.5141451414514145,0.35635123614663256
3_KNN,123,1,0.6222493100646085,0.4319313260020976,0.4267866066966517,0.6822714681440443,0.5157004830917874,0.3640238704177323
3_KNN,123,2,0.6172705768996458,0.42816602231950623,0.4102817597627286,0.6694375173178165,0.48766157461809634,0.35409556313993173
3_KNN,123,3,0.626389275965946,0.44154043065170645,0.4180790960451977,0.686062621224716,0.5251612903225806,0.34726962457337884
3_KNN,123,4,0.6241821316232641,0.4258664711506956,0.39585492227979274,0.6769188140759214,0.5046235138705416,0.3256606990622336
3_KNN,123,5,0.6319308832978469,0.4363075367092301,0.42814070351758793,0.684677195899141,0.5214198286413708,0.3631713554987212
3_KNN,999,1,0.6167146096989402,0.4247580817611448,0.4151133501259446,0.678393351800554,0.5073891625615764,0.3512361466325661
3_KNN,999,2,0.6242880310794477,0.4206535359764679,0.40480961923847697,0.6708229426433915,0.49029126213592233,0.3447098976109215
3_KNN,999,3,0.6207798291694735,0.43059032763308175,0.40861291937906863,0.6727625380991965,0.49454545454545457,0.34812286689419797
3_KNN,999,4,0.6215488194278211,0.42522075280167315,0.4055017829852267,0.6766417290108063,0.5037974683544304,0.3393009377664109
3_KNN,999,5,0.6236183378898785,0.43148636430278353,0.4055441478439425,0.6791354945968412,0.5096774193548387,0.33674339300937767
4_GradientBoosting,42,1,0.6877825901551142,0.5467611630634515,0.42054958183990443,0.7313019390581718,0.7025948103792415,0.30008525149190113
4_GradientBoosting,42,2,0.7056270228180175,0.5701089296453199,0.4260355029585799,0.7312274868384594,0.694980694980695,0.30716723549488056
4_GradientBoosting,42,3,0.7020452957183131,0.554535845842892,0.4084507042253521,0.7206982543640897,0.6541353383458647,0.29692832764505117
4_GradientBoosting,42,4,0.712557586752842,0.5710633054962566,0.4324002382370459,0.7359379329454142,0.717391304347826,0.309462915601023
4_GradientBoosting,42,5,0.70845599609159,0.5622555475384261,0.4261330194231901,0.7298420615128844,0.688212927756654,0.30861040068201195
4_GradientBoosting,123,1,0.6887402264254439,0.5563485919966361,0.41375222288085356,0.7260387811634349,0.6789883268482491,0.29752770673486784
4_GradientBoosting,123,2,0.7085431718906898,0.5545791872949691,0.42123687281213534,0.7251316154059296,0.6660516605166051,0.30802047781569963
4_GradientBoosting,123,3,0.7082327905540438,0.5832486067280791,0.4399282725642558,0.7403712939872541,0.7345309381237525,0.31399317406143346
4_GradientBoosting,123,4,0.7019692184719966,0.5504382030873041,0.4106824925816024,0.7248545303408146,0.67578125,0.2949701619778346
4_GradientBoosting,123,5,0.7117892384340043,0.5691530012674675,0.4294985250737463,0.7320587420338044,0.6973180076628352,0.3103154305200341
4_GradientBoosting,999,1,0.7020526824135302,0.5439931050890725,0.4190365641323273,0.7227146814404433,0.6563636363636364,0.30775788576300084
4_GradientBoosting,999,2,0.717325930863914,0.577346916474742,0.44457547169811323,0.7389858686616791,0.7194656488549618,0.3216723549488055
4_GradientBoosting,999,3,0.7054024208693899,0.5635687185443932,0.4168168168168168,0.7309504017733445,0.7038539553752535,0.2960750853242321
4_GradientBoosting,999,4,0.6984452451645327,0.5531332683081439,0.43427230046948356,0.7328899972291494,0.696798493408663,0.3154305200341006
4_GradientBoosting,999,5,0.688160996532546,0.5548710038647593,0.4057623049219688,0.7256857855361596,0.6855983772819473,0.28815004262574595
5_RandomForest,42,1,0.6557982383690484,0.4932825712356508,0.41226215644820297,0.69196675900277,0.5424200278164116,0.33248081841432225
5_RandomForest,42,2,0.6782809040377233,0.5279202527841043,0.4486772486772487,0.7112773621501801,0.5905292479108635,0.36177474402730375
5_RandomForest,42,3,0.6657119479133551,0.4971193855694487,0.4238270954138113,0.6971460238293156,0.5544827586206896,0.3430034129692833
5_RandomForest,42,4,0.6741384209855856,0.530349983838268,0.4472708002119767,0.7110002770850651,0.5910364145658263,0.3597612958226769
