config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
1_Baseline_Raw,22,18,0.6551349992507433,0.5002470634814764,0.43611404435058077,0.7040731504571903,0.5720221606648199,0.35238907849829354,0.20934387869823862
1_Baseline_Raw,23,18,0.6626151369459177,0.5000767637282381,0.43314105925537494,0.7004710446106955,0.5619047619047619,0.35238907849829354,0.20781625029182244
1_Baseline_Raw,24,18,0.6652610319490115,0.5063978579154591,0.44490216271884653,0.7013022998060404,0.5617685305591678,0.36828644501278773,0.2068046748753699
1_Baseline_Raw,25,18,0.6683508735828164,0.5091148663139023,0.42962184873949577,0.6990856192851206,0.5595075239398085,0.34867860187553285,0.20523739633829807
2_Raw_Plus_Composite_Burden,1,19,0.6484554857428511,0.47954996670998795,0.4140830267997898,0.6911357340720221,0.5397260273972603,0.3358908780903666,0.2129921822606799
2_Raw_Plus_Composite_Burden,2,19,0.677090321144024,0.5216370652002243,0.436612309310889,0.7032418952618454,0.5692729766803841,0.35409556313993173,0.20255390712009103
2_Raw_Plus_Composite_Burden,3,19,0.6603524867619647,0.49012801955576923,0.4181438998957247,0.6907730673316709,0.5375335120643432,0.34215017064846415,0.2093136779650654
2_Raw_Plus_Composite_Burden,4,19,0.6747242625186006,0.5284750104903454,0.44842105263157894,0.7096148517594901,0.5859697386519945,0.3631713554987212,0.20200136180671313
2_Raw_Plus_Composite_Burden,5,19,0.6650783501806521,0.5044151077204913,0.4421162912519644,0.7049044056525353,0.5733695652173914,0.3597612958226769,0.20650586104089744
2_Raw_Plus_Composite_Burden,6,19,0.6646011458052383,0.5092190858559095,0.43350785340314135,0.7002770083102493,0.5617367706919946,0.35294117647058826,0.20629460555476065
2_Raw_Plus_Composite_Burden,7,19,0.6722546394394721,0.5206870205810044,0.44525168655941877,0.7037960653920754,0.5682119205298013,0.3660409556313993,0.20363211310576956
2_Raw_Plus_Composite_Burden,8,19,0.6611505851904864,0.4993857824666826,0.4323467230443975,0.7024106400665004,0.5680555555555555,0.34897610921501704,0.2076209278299491
2_Raw_Plus_Composite_Burden,9,19,0.6675062328779588,0.5155126006653699,0.4418103448275862,0.7129398725408701,0.6002928257686676,0.3495311167945439,0.20465624014925576
2_Raw_Plus_Composite_Burden,10,19,0.6607326588806437,0.4914369301729625,0.4343329886246122,0.6968689387642006,0.5519053876478318,0.35805626598465473,0.20941738709739885
2_Raw_Plus_Composite_Burden,11,19,0.6727460390589662,0.5207081374801383,0.4492372435560231,0.7099722991689751,0.5865384615384616,0.3640238704177323,0.20320849567432098
2_Raw_Plus_Composite_Burden,12,19,0.6675120896419113,0.5107158259464556,0.44878563885955647,0.7107231920199502,0.5886426592797784,0.3626279863481229,0.2053587237124783
2_Raw_Plus_Composite_Burden,13,19,0.6736652727224346,0.5014281337920252,0.43183023872679044,0.7032418952618454,0.5708274894810659,0.34726962457337884,0.20486602181639335
2_Raw_Plus_Composite_Burden,14,19,0.6668628220903554,0.5118466296734461,0.43418259023354566,0.7046273205874204,0.5752461322081576,0.34867860187553285,0.2051171719360266
2_Raw_Plus_Composite_Burden,15,19,0.6604322138650562,0.4989585999691935,0.43550051599587203,0.6968689387642006,0.5516339869281046,0.3597612958226769,0.20887711088197386
2_Raw_Plus_Composite_Burden,16,19,0.6678912167175481,0.510195117693911,0.42887029288702927,0.6975069252077563,0.5548037889039242,0.3495311167945439,0.205721337481161
2_Raw_Plus_Composite_Burden,17,19,0.6713042388322239,0.5245012204659826,0.4447983014861996,0.7101690218897202,0.5884831460674157,0.3575085324232082,0.2036865035423885
