roc_auc_mean,roc_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,dataset,feature_set,model,n_features,split_source,n_internal_samples,n_unseen_samples,internal_koa_rate,unseen_koa_rate,unseen_roc_auc,unseen_f1,unseen_accuracy,unseen_precision,unseen_recall
0.6628578904667304,0.016219594737479148,0.118491957564785,0.029689671143047987,0.8506331506331507,0.0035746065376868106,Dataset_B_7635,raw17_biomarkers_orig,XGBoost,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6891476413269075,0.17358490566037735,0.8565815324165029,0.4791666666666667,0.10599078341013825
0.6625469290755791,0.017591856879942677,0.05605536244520979,0.021613012258734906,0.8571273847869594,0.0027748901538828955,Dataset_B_7635,raw17_biomarkers_log,CatBoost,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6720090055229183,0.044444444444444446,0.8592010478061559,0.625,0.02304147465437788
0.662218687090173,0.013241962466658132,0.03460242107130225,0.012560364135257124,0.8647471082740732,0.001389346169121984,Dataset_A_12329,raw17_biomarkers_orig,CatBoost,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6441226128818818,0.07407407407407407,0.8682076236820763,0.5652173913043478,0.039634146341463415
0.6614878324667122,0.016974480451543986,0.09285462054680288,0.024673715320164734,0.8599815905529243,0.002977523750121955,Dataset_A_12329,raw17_biomarkers_orig_BA,XGBoost,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6539634146341464,0.1,0.8613138686131386,0.36538461538461536,0.057926829268292686
0.6614878324667122,0.016974480451543986,0.09285462054680288,0.024673715320164734,0.8599815905529243,0.002977523750121955,Dataset_A_12329,raw17_biomarkers_orig,XGBoost,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6539634146341464,0.1,0.8613138686131386,0.36538461538461536,0.057926829268292686
0.6605778977666376,0.01204616890183555,0.04825075789318226,0.022169605821334037,0.8658622471656752,0.0022693191539752463,Dataset_A_12329,raw17_biomarkers_orig_BA,CatBoost,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6506707887471765,0.05714285714285714,0.8661800486618005,0.45454545454545453,0.03048780487804878
0.6587719428867388,0.012558633243639239,0.007027171980590343,0.005292404471647781,0.8667410309633055,0.0007356461802206603,Dataset_A_12329,raw17_biomarkers_orig,LogisticRegression,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6580560245499554,0.012012012012012012,0.8665855636658556,0.4,0.006097560975609756
0.6587618819577652,0.01256659555231239,0.007027171980590343,0.005292404471647781,0.8667410309633055,0.0007356461802206603,Dataset_A_12329,raw17_biomarkers_orig_BA,LogisticRegression,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6580232266307696,0.012012012012012012,0.8665855636658556,0.4,0.006097560975609756
0.6587134464871343,0.014305243004584361,0.0938371679927447,0.02324961418129959,0.8598464839909433,0.0042951453059909194,Dataset_A_12329,raw17_biomarkers_log,XGBoost,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6559041958520615,0.10498687664041995,0.8617193836171938,0.37735849056603776,0.06097560975609756
0.6587134464871343,0.014305243004584361,0.0938371679927447,0.02324961418129959,0.8598464839909433,0.0042951453059909194,Dataset_A_12329,raw17_biomarkers_log_BA,XGBoost,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6559041958520615,0.10498687664041995,0.8617193836171938,0.37735849056603776,0.06097560975609756
0.6583963873676275,0.013067908674188614,0.04310668175670592,0.012664313474672798,0.8652203496355635,0.0020682327540896992,Dataset_A_12329,raw17_biomarkers_log,CatBoost,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.657987576718611,0.07977207977207977,0.8690186536901865,0.6086956521739131,0.042682926829268296
0.6580716828569001,0.012384852415953189,0.0060283925608615434,0.005082040337061414,0.8667072243372067,0.000555982659220269,Dataset_A_12329,raw17,LogisticRegression,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6543156357662735,0.011940298507462687,0.8657745336577454,0.2857142857142857,0.006097560975609756
0.6580716828569001,0.012384852415953189,0.0060283925608615434,0.005082040337061414,0.8667072243372067,0.000555982659220269,Dataset_A_12329,raw17_BA,LogisticRegression,17,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6543156357662735,0.011940298507462687,0.8657745336577454,0.2857142857142857,0.006097560975609756
0.657950513238193,0.01608807703292689,0.047657020586325156,0.016082142830639877,0.8657272434114774,0.001943974773840574,Dataset_A_12329,raw17_biomarkers_log_BA,CatBoost,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6467193524835154,0.034782608695652174,0.864963503649635,0.35294117647058826,0.018292682926829267
0.6579220954674326,0.01252138153295909,0.007023374608371919,0.0052920031582554495,0.8666734348457386,0.0007396182405421458,Dataset_A_12329,raw17_biomarkers_log,LogisticRegression,25,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6577751032421456,0.012012012012012012,0.8665855636658556,0.4,0.006097560975609756
0.6578973271203731,0.012522921615305648,0.007025280459334373,0.005292210414655314,0.8667072414718373,0.0007491589350584942,Dataset_A_12329,raw17_biomarkers_log_BA,LogisticRegression,26,step01_early_split,9863,2466,0.1332251850349792,0.1330089213300892,0.6577194893791782,0.012012012012012012,0.8665855636658556,0.4,0.006097560975609756
0.6557373420615877,0.019030153685579684,0.01136835837712518,0.010481336980971912,0.8582734050819157,0.0009539639106360093,Dataset_B_7635,raw17_biomarkers_log,LogisticRegression,25,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6671861258662539,0.009174311926605505,0.8585461689587426,1.0,0.004608294930875576
0.6557297533593585,0.019006987021673236,0.01136835837712518,0.010481336980971912,0.8582188497082115,0.0010159679832064325,Dataset_B_7635,raw17_biomarkers_log_BA,LogisticRegression,26,step01_early_split,6108,1527,0.1421087098886706,0.1421087098886706,0.6673303549442433,0.009174311926605505,0.8585461689587426,1.0,0.004608294930875576
